Name,Job Title,Link,Domain Name
Yasmine Larkin,"Senior Technical Recruiter at $3.25B Blockchain Infrastructure Startup | Crypto, FinTech, Staking, Nodes, Blockchain,  NFT, DeFi | We Are hiring!",https://www.linkedin.com/in/yasminelarkin/?originalSubdomain=ie,blockdaemon.com
Léa Bodwin,"Senior Recruiter - Crypto, Staking, Nodes, Blockchain, NFT, DeFi - We're hiring!",https://www.linkedin.com/in/leabdw/,blockdaemon.com
Corinne Smith,Head of People @ Blockdaemon - we’re hiring!,https://www.linkedin.com/in/corinnenicolesmith/,blockdaemon.com
Andrew Merrigan,Senior Software Engineer,https://www.linkedin.com/in/andrew-merrigan-73a57945/?originalSubdomain=ie,blockdaemon.com
Jaroslaw Diuwe,Golang Engineer @ Blockdaemon | blockchain | crypto | NFT,https://www.linkedin.com/in/jaroslaw-diuwe-8719a945/?originalSubdomain=ie,blockdaemon.com
